1, Linghu Chong, Swordsman, 28
2, Kidd, New Jersey Nets, 30
3, Bryant, Los Angeles Lakers, 25
4, Ro Baggio, Brescia, 36
5, Batti, Rome, 33
6, Duncan, Spurs, 27
7, Linghu Chong, Swordsman, 28
8, Kid, New Jersey Nets, 30
9, Bryant, Los Angeles Lakers, 24
10, Ro Baggio, Brescia, 36
11, Batty, Rome, 33
12, Duncan, Spurs, 27
13, Linghu Chong, Swordsman, 28
14, Kidd, New Jersey Nets, 30
15, Bryant, Los Angeles Lakers, 24
16, Luo Baggio, Brescia, 36
17, Batty, Rome, 33
18, Duncan, Spurs, 27
19, Linghu Chong, Swordsman, 28
20, Kidd, New Jersey Nets, 30
21, Bryant, Los Angeles Lakers, 24
22, Luo Baggio, Brescia, 36
23, Batty, Rome, 33
24, Duncan, Spurs, 27
25, Linghu Chong, smiling proud of the rivers and lakes, 28
26, Kidd, New Jersey Nets, 30
27, Bryant, Los Angeles Lakers, 24
28, Luo Baggio, Brescia, 36
29, Batty, Rome, 33
30, Duncan, Spurs, 27
31, Linghu Chong, smiling proudly, 28
32, Kidd, New Jersey Nets, 30
33, Bryant, Los Angeles Lakers, 25
34, Luo Baggio, Brescia, 36
35, Batty, Rome, 33
36, Duncan, Spurs, 27
37, Linghu Chong, Swordsman, 28
38, Kidd, New Jersey Nets, 30
39, Bryant, Los Angeles Lakers, 24
40, Luo Baggio, Brescia, 36
41, Batty, Rome, 33
42, Duncan, Spurs, 27
43, Linghu Chong, Swordsman, 28
44, Kidd, New Jersey Nets, 30
45, Bryant, Los Angeles Lakers, 24
46, Luo Baggio, Brescia, 36
47, Batty, Rome, 33
48, Duncan, Spurs, 27
49, Linghu Chong, smiling proud, 28
50, Kidd, New Jersey Nets, 30
51, Bryant, Los Angeles Lakers, 24
52, Luo Baggio, Brescia, 36
53, Batty, Rome, 33
54, Duncan, Spurs, 27
55, Linghu Chong, smiling proud, 28
56, Kidd, New Jersey Nets, 30
57, Bryant, Los Angeles Lakers, 24
58, Luo Baggio, Brescia, 36
59, Batty, Rome, 33
60, Duncan, Spurs, 27
61, Linghu Chong, Swordsman, 28
62, Kidd, New Jersey Nets, 30
63, Bryant, Los Angeles Lakers, 25
64, Luo Baggio, Brescia, 36
65, Batty, Rome, 33
66, Duncan, Spurs, 27
67, Linghu Chong, smiling proud, 28
68, Kidd, New Jersey Nets, 30
69, Bryant, Los Angeles Lakers, 24
70, Luo Baggio, Brescia, 36
71, Batty, Rome, 33
72, Duncan, Spurs, 27
73, Linghu Chong, Swordsman, 28
74, Kidd, New Jersey Nets, 30
75, Bryant, Los Angeles Lakers, 24
76, Luo Baggio, Brescia, 36
77, Batty, Rome, 33
78, Duncan, Spurs, 27
79, Linghu Chong, Swordsman, 28
80, Kidd, New Jersey Nets, 30
81, Bryant, Los Angeles Lakers, 24
82, Luo Baggio, Brescia, 36
83, Batty, Rome, 33
84, Duncan, Spurs, 27
85, Linghu Chong, Swordsman, 28
86, Kidd, New Jersey Nets, 30
87, Bryant, Los Angeles Lakers, 24
88, Luo Baggio, Brescia, 36
89, Batty, Rome, 33
90, Duncan, Spurs, 27
91, Linghu Chong, smiling proud, 28
92, Kidd, New Jersey Nets, 30
93, Bryant, Los Angeles Lakers, 25
94, Luo Baggio, Brescia, 36
95, Batty, Rome, 33
96, Duncan, Spurs, 27
97, Linghu Chong, Swordsman, 28
98, Kidd, New Jersey Nets, 30
99, Bryant, Los Angeles Lakers, 24
100, Ro Baggio, Brescia, 36
101, Batty, Rome, 33
102, Duncan, Spurs, 27
103, Linghu Chong, Swordsman, 28
104, Kidd, New Jersey Nets, 30
